               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037814,            0.040901,            0.071007,             0.80338,             0.20453,             0.24904,             0.14736,            0.033195,            0.030305,            0.069776,            0.002872,            0.002872,            0.002872
                  38,             0.03357,            0.041543,             0.06878,             0.80455,             0.18708,             0.26486,              0.1514,            0.035826,            0.030434,            0.069385,            0.002674,            0.002674,            0.002674
                  39,            0.036847,             0.04228,            0.070444,             0.81106,             0.20362,               0.268,              0.1837,            0.030535,            0.029771,            0.069271,            0.002476,            0.002476,            0.002476
                  40,            0.034576,            0.047699,              0.0694,             0.77311,             0.23396,             0.26954,             0.16875,            0.032481,            0.030097,            0.069166,            0.002278,            0.002278,            0.002278
                  41,             0.03599,            0.039342,            0.071358,             0.77378,             0.23553,             0.26461,             0.17809,            0.031088,            0.030213,            0.069085,             0.00208,             0.00208,             0.00208
                  42,            0.035092,            0.046048,            0.068941,             0.77344,             0.24983,             0.27286,             0.17992,             0.03067,             0.02993,            0.068887,            0.001882,            0.001882,            0.001882
                  43,            0.033395,            0.040854,            0.069255,             0.77293,             0.23943,             0.27767,             0.18629,            0.030495,            0.029943,            0.068753,            0.001684,            0.001684,            0.001684
                  44,            0.030898,            0.038758,            0.069737,             0.77805,             0.22468,             0.28266,             0.17806,            0.031908,            0.030016,            0.068525,            0.001486,            0.001486,            0.001486
                  45,            0.033478,            0.040137,            0.067843,             0.77774,             0.25454,             0.28379,              0.1999,            0.029293,            0.029905,            0.068428,            0.001288,            0.001288,            0.001288
                  46,            0.031922,            0.040814,            0.068322,             0.77728,             0.25672,             0.28648,             0.20072,            0.029709,            0.029988,             0.06832,             0.00109,             0.00109,             0.00109
                  47,            0.031764,            0.037789,            0.069027,             0.77313,             0.24961,             0.28964,              0.2024,            0.029485,            0.029731,            0.068274,            0.000892,            0.000892,            0.000892
                  48,            0.032271,            0.044648,            0.069687,             0.80151,             0.23596,             0.29137,             0.20434,            0.029405,            0.029667,            0.068205,            0.000694,            0.000694,            0.000694
                  49,             0.03094,            0.040798,            0.067838,              0.8017,             0.23474,             0.29077,             0.20027,            0.029187,            0.029557,            0.068164,            0.000496,            0.000496,            0.000496
